time,command,current,temperature
2020-03-26 19:17:42.531283,26.0,0.142,25.977
2020-03-26 19:17:42.579233,26.0,0.128,25.975
2020-03-26 19:17:42.627182,26.0,0.122,25.965
2020-03-26 19:17:42.675132,26.0,0.089,25.969
2020-03-26 19:17:42.722084,26.0,0.127,25.978
2020-03-26 19:17:42.770034,26.0,0.127,25.977
2020-03-26 19:17:42.818613,26.0,0.15,25.973
2020-03-26 19:17:42.865566,26.0,0.124,25.971
2020-03-26 19:17:42.913517,26.0,0.112,25.975
2020-03-26 19:17:42.961465,26.0,0.113,25.981
2020-03-26 19:17:43.009415,26.0,0.133,25.977
2020-03-26 19:17:43.057366,26.0,0.144,25.971
2020-03-26 19:17:43.105316,26.0,0.115,25.968
